# R(23)3300019 has a factor: 39600229 (25.24 Bits)
-3,2199377,23,3
# R(-3)2119121 has a factor: 12714727 (23.6 Bits)
-3,2119121,23,3
# R(-3)2110763 has a factor: 12664579 (23.59 Bits)
-3,2110763,23,3
# R(-3)2125681 has a factor: 12754087 (23.6 Bits)
-3,2125681,23,3
# R(-3)2144537 has a factor: 12867223 (23.62 Bits)
-3,2144537,23,3
# R(-3)2104601 has a factor: 12627607 (23.59 Bits)
-3,2104601,23,3
# R(-3)2163347 has a factor: 12980083 (23.63 Bits)
-3,2163347,23,3
# R(-3)2187973 has a factor: 13127839 (23.65 Bits)
-3,2187973,23,3
# R(-3)2192651 has a factor: 13155907 (23.65 Bits)
-3,2192651,23,3
# R(-3)2130001 has a factor: 12780007 (23.61 Bits)
-3,2130001,23,3
# R(-3)2178263 has a factor: 13069579 (23.64 Bits)
-3,2178263,23,3
# R(-3)2168107 has a factor: 13008643 (23.63 Bits)
-3,2168107,23,3
# R(-3)2146853 has a factor: 12881119 (23.62 Bits)
-3,2146853,23,3
# R(-3)2131427 has a factor: 12788563 (23.61 Bits)
-3,2131427,23,3
# R(-3)2159537 has a factor: 12957223 (23.63 Bits)
-3,2159537,23,3
# R(-3)2139911 has a factor: 12839467 (23.61 Bits)
-3,2139911,23,3
# R(-3)2172917 has a factor: 13037503 (23.64 Bits)
-3,2172917,23,3
# R(-3)2178643 has a factor: 13071859 (23.64 Bits)
-3,2178643,23,3
# R(-3)2176411 has a factor: 13058467 (23.64 Bits)
-3,2176411,23,3
# R(-3)2099771 has a factor: 12598627 (23.59 Bits)
-3,2099771,23,3
# R(-3)2141617 has a factor: 12849703 (23.62 Bits)
-3,2141617,23,3
# R(-3)2111783 has a factor: 12670699 (23.59 Bits)
-3,2111783,23,3
# R(-3)2164927 has a factor: 12989563 (23.63 Bits)
-3,2164927,23,3
# R(-3)2138093 has a factor: 12828559 (23.61 Bits)
-3,2138093,23,3
# R(-3)2144323 has a factor: 12865939 (23.62 Bits)
-3,2144323,23,3
# R(-3)2191507 has a factor: 13149043 (23.65 Bits)
-3,2191507,23,3
# R(-3)2106337 has a factor: 12638023 (23.59 Bits)
-3,2106337,23,3
# R(-3)2173573 has a factor: 13041439 (23.64 Bits)
-3,2173573,23,3
# R(-3)2150671 has a factor: 12904027 (23.62 Bits)
-3,2150671,23,3
# R(-3)2123971 has a factor: 12743827 (23.6 Bits)
-3,2123971,23,3
# R(-3)2124377 has a factor: 12746263 (23.6 Bits)
-3,2124377,23,3
# R(-3)2165323 has a factor: 12991939 (23.63 Bits)
-3,2165323,23,3
# R(-3)2172587 has a factor: 13035523 (23.64 Bits)
-3,2172587,23,3
# R(-3)2123741 has a factor: 12742447 (23.6 Bits)
-3,2123741,23,3
# R(-3)2177467 has a factor: 13064803 (23.64 Bits)
-3,2177467,23,3
# R(-3)2123683 has a factor: 12742099 (23.6 Bits)
-3,2123683,23,3
# R(-3)2149471 has a factor: 12896827 (23.62 Bits)
-3,2149471,23,3
# R(-3)2132461 has a factor: 12794767 (23.61 Bits)
-3,2132461,23,3
# R(-3)2101357 has a factor: 12608143 (23.59 Bits)
-3,2101357,23,3
# R(-3)2109167 has a factor: 12655003 (23.59 Bits)
-3,2109167,23,3
# R(-3)2169991 has a factor: 13019947 (23.63 Bits)
-3,2169991,23,3
# R(-3)2128493 has a factor: 12770959 (23.61 Bits)
-3,2128493,23,3
# R(-3)2102273 has a factor: 12613639 (23.59 Bits)
-3,2102273,23,3
# R(-3)2107033 has a factor: 12642199 (23.59 Bits)
-3,2107033,23,3
# R(-3)2152457 has a factor: 12914743 (23.62 Bits)
-3,2152457,23,3
# R(-3)2144501 has a factor: 12867007 (23.62 Bits)
-3,2144501,23,3
# R(-3)2165651 has a factor: 12993907 (23.63 Bits)
-3,2165651,23,3
# R(-3)2121943 has a factor: 12731659 (23.6 Bits)
-3,2121943,23,3
# R(-3)2120353 has a factor: 12722119 (23.6 Bits)
-3,2120353,23,3
# R(-3)2154043 has a factor: 12924259 (23.62 Bits)
-3,2154043,23,3
# R(-3)2156437 has a factor: 12938623 (23.63 Bits)
-3,2156437,23,3
# R(-3)2167393 has a factor: 13004359 (23.63 Bits)
-3,2167393,23,3
